ID;Set;Human Monitoring Requirement;dsl_code;definability;issues;notes
G.D33.2.2.4.2.3;2005 - phin.txt;Epidemiological (epi) data must be collected  to assist in the case investigation of events.  Standard epi data to be collected includes: onset date and time of symptoms, type of symptoms, risk factors, medical history data, laboratory data, procedure data, and questionnaire responses.;"requirement REQ_064_ID_G_D33_2_2_4_2_3
  system shall log epi_data of om_system
  stakeholders om_system
  linked_to ""G.D33.2.2.4.2.3""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.4.2.5;2005 - phin.txt;In the context of a case, all entities exposed to a case must be recorded and linked to the case.;"requirement REQ_065_ID_G_D33_2_2_4_2_5
  system shall record exposure_linkages of om_system
  stakeholders om_system
  linked_to ""G.D33.2.2.4.2.5""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.4.2.6;2005 - phin.txt;Demographic information should be collected about the investigator, including their name, address, and contact information, so that the investigator may be contacted to answer questions or to provide additional information.;"requirement REQ_066_ID_G_D33_2_2_4_2_6
  system shall inform investigator
  stakeholders person, investigator
  linked_to ""G.D33.2.2.4.2.6""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.4.3.2;2005 - phin.txt;Detailed data must be collected about the source of exposure as well as the exposed entity to support contact exposure tracing.  Exposure data related to both the  potential source  and the potential spread include the entity’s type, Subject ID, Contact ID, contact’s name and address, exposure dates and times, health  status, and priority code.;"requirement REQ_067_ID_G_D33_2_2_4_3_2
  system shall collect exposure_source_data of om_system
  stakeholders om_system, person, exposure_source
  linked_to ""G.D33.2.2.4.3.2""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.4.3.3;2005 - phin.txt;Epi data must be collected to assist in the exposure investigation of  health events. Standard epi data to be collected for exposure investigation parallels the data to be collected for case investigation and includes: onset date and time of symptoms, type of symptoms, risk factors, laboratory data, procedure data, and questionnaire responses.;"requirement REQ_068_ID_G_D33_2_2_4_3_3
  system shall collect epi_data of om_system
  stakeholders om_system
  linked_to ""G.D33.2.2.4.3.3""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.4.3.4;2005 - phin.txt;Systems supporting OM must support capturing dynamic, event-specific data that describes contact between two subjects.;"requirement REQ_069_ID_G_D33_2_2_4_3_4
  system shall record systems_supporting_om_capturing of om_system
  stakeholders om_system, person
  linked_to ""G.D33.2.2.4.3.4""";partially;"Generic capability/support wording was approximated as a record requirement; Value-DSL lacks native capability/provide/support constructs.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.5.1;2005 - phin.txt;Systems supporting OM should support the monitoring and follow-up activities required when tracking the  status of cases and exposed individuals.;"requirement REQ_070_ID_G_D33_2_2_5_1
  where condition_from_source_70
  system shall monitor systems_supporting_om_monitoring of om_system
  stakeholders om_system
  linked_to ""G.D33.2.2.5.1""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.5.1.1;2005 - phin.txt;Monitoring data should be collected about cases and exposed individuals who are isolated or quarantined because of a health event.;"requirement REQ_071_ID_G_D33_2_2_5_1_1
  system shall collect monitoring_data of om_system
  stakeholders om_system
  linked_to ""G.D33.2.2.5.1.1""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.5.1.2;2005 - phin.txt;Follow-up data should be collected from  subjects or their proxies to track symptoms and compliance with  recommended treatment plans or prophylaxis.;"requirement REQ_072_ID_G_D33_2_2_5_1_2
  system shall collect follow_up_data of om_system
  stakeholders om_system, person
  linked_to ""G.D33.2.2.5.1.2""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.6.5;2005 - phin.txt;Chain of custody information for forensic and select agent samples must be captured, including the person who collected the sample, the location of collection, all people who came into contact with the sample during the preparation for shipment to the laboratory, and the acceptance of the package by the shipper.;"requirement REQ_073_ID_G_D33_2_2_6_5
  system shall inform shipper
  stakeholders person, location, sample, shipper
  linked_to ""G.D33.2.2.6.5""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.7.2;2005 - phin.txt;Contraindication information should  be collected  to indicate why vaccinations, treatments, or antidotes  may not have been administered or why the patient may not have complied with prescribed interventions.;"requirement REQ_074_ID_G_D33_2_2_7_2
  system shall inform patient
  stakeholders om_system, patient
  linked_to ""G.D33.2.2.7.2""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D33.2.2.8.1;2005 - phin.txt;If an affected person suffers a negative reaction to a vaccine or prophylaxis that was administered, adverse event data may be collected and used to determine the need for additional interventions or to determine if there is a problem with the pharmaceutical, batch, or the administering  facility or person. For specific data requirements regarding adverse event data, please reference PHIN Preparedness Countermeasure/Response Administration Functional Requirements and Process Flows, available at www.cdc.gov/phin.;"requirement REQ_075_ID_G_D33_2_2_8_1
  where condition_from_source_75
  system shall collect adverse_event_data of person
  stakeholders person
  linked_to ""G.D33.2.2.8.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.9.1;2005 - phin.txt;Systems supporting OM should capture information such as the date and time of an activity, activity type, who initiated the activity, and contact information to generate activity logs for management purposes.;"requirement REQ_076_ID_G_D33_2_2_9_1
  system shall inform om_system
  stakeholders om_system
  linked_to ""G.D33.2.2.9.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.9.2;2005 - phin.txt;Activity logs, which are tools for investigators to track their actions during a case, should be supported. For example, investigators may log calls made to monitor symptoms or calls made to schedule follow-up visits.;"requirement REQ_077_ID_G_D33_2_2_9_2
  system shall log activity_logs of om_system
  stakeholders om_system, investigator
  linked_to ""G.D33.2.2.9.2""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.3.2.4;2005 - phin.txt;Systems supporting OM require the ability to capture information about possible cases and potential contacts from the identification process through the treatment and follow-up process, as supported by linkages among entities, events, and actions.;"requirement REQ_078_ID_G_D33_2_3_2_4
  system shall inform om_system
  stakeholders om_system
  linked_to ""G.D33.2.3.2.4""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.3.3.2;2005 - phin.txt;Contacts of exposed entities (e.g., people, animals, places) may be traced,  investigated, and monitored.;"requirement REQ_079_ID_G_D33_2_3_3_2
  system shall monitor exposed_entity_contacts of om_system
  stakeholders om_system
  linked_to ""G.D33.2.3.3.2""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
53;worldvista;The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).;"requirement REQ_080_ID_X_53
  system shall detect authorization_status of om_system
  stakeholders om_system, ehr_system
  linked_to ""53""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
101;worldvista;The system shall audit sensitive records, enabling a site to follow up on a record accessed by a remote location.;"requirement REQ_081_ID_X_101
  system shall log location_data of location
  stakeholders location, ehr_system, site, remote_location
  linked_to ""101""";partially;Audit semantics were mapped to logging because Value-DSL has no dedicated audit verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
114;worldvista;The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.;"requirement REQ_082_ID_X_114
  system shall warn ehr_system using display
  stakeholders person, patient, ehr_system
  linked_to ""114""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
115;worldvista;The system shall provide background checks on duplicate orders, drug-drug interactions, and many other criteria that a user can choose.;"requirement REQ_083_ID_X_115
  system shall record order_safety_checks of can_bus
  stakeholders can_bus, ehr_system, user
  linked_to ""115""";partially;"Generic capability/support wording was approximated as a record requirement; Value-DSL lacks native capability/provide/support constructs.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
123;worldvista;The system shall support the Ambulatory Care Date Capture project for capturing encounter data for workload credit, as well as capturing clinically relevant data for reminders and reports.;"requirement REQ_084_ID_X_123
  system shall capture encounter_data of vehicle
  stakeholders vehicle, ehr_system, ambulatory_care_system
  linked_to ""123""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
126;worldvista;The system shall include a report construction feature so each site can individually run related to patient data including: Health Summary, Vitals Cumulative, Nutritional Assessment, Daily Order Summary and Order Summary for a Date Range reports.;"requirement REQ_085_ID_X_126
  system shall record include_report_construction_feature of can_bus
  stakeholders can_bus, patient, ehr_system, site
  linked_to ""126""";partially;"Generic capability/support wording was approximated as a record requirement; Value-DSL lacks native capability/provide/support constructs. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
128;worldvista;"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert.";"requirement REQ_086_ID_X_128
  system shall warn ehr_system
  stakeholders vehicle, ehr_system
  linked_to ""128""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
137;worldvista;The system shall include non-Standard Laboratory and Medication orderable files.;"requirement REQ_087_ID_X_137
  system shall record include_non_standard_laboratory of ehr_system
  stakeholders ehr_system
  linked_to ""137""";partially;"Generic capability/support wording was approximated as a record requirement; Value-DSL lacks native capability/provide/support constructs.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.2.1.3;2021 - ConnectedVehiclePilotNYC.txt;The Vehicle Performance Monitoring application shall collect/log vehicle operational data (e.g. hard break, steering turns, accelerations based on accelerometers).;"requirement REQ_088_ID_G_D77_3_2_1_3
  system shall log performance_parameters of vehicle
  stakeholders vehicle, om_system, connected_vehicle_system
  linked_to ""G.D77.3.2.1.3""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D77.3.2.2.10;2021 - ConnectedVehiclePilotNYC.txt;The ASD shall have the capability of operating in active mode and recording normal driver behaviors and reactions while notifying the user of the perceived warnings.;"requirement REQ_089_ID_G_D77_3_2_2_10
  system shall warn driver
  stakeholders driver, user, connected_vehicle_system, asd
  linked_to ""G.D77.3.2.2.10""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.2.3.9;2021 - ConnectedVehiclePilotNYC.txt;The ASD shall continuously monitor the location of the host vehicle as described in SAE J2945/1.;"requirement REQ_090_ID_G_D77_3_2_3_9
  system shall monitor location_data of vehicle
  stakeholders vehicle, location, connected_vehicle_system, asd, host_vehicle
  linked_to ""G.D77.3.2.3.9""";partially;Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.2.5.12;2021 - ConnectedVehiclePilotNYC.txt;The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the driver actions in response to warnings and vehicle trajectories.;"requirement REQ_091_ID_G_D77_3_2_5_12
  system shall warn driver
  stakeholders driver, vehicle, connected_vehicle_system, nyc_cvpd_subsystem
  linked_to ""G.D77.3.2.5.12""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.3.7.1;2021 - ConnectedVehiclePilotNYC.txt;A PEDINXWALK alert shall be displayed if a pedestrian has been detected in a crosswalk that intersects the Transit Vehicle’s planned forward, left or right turn route at the intersection.;"requirement REQ_092_ID_G_D77_3_8_3_7_1
  if pedestrian pedestrian_condition_detected
  system shall warn transit_vehicle_operator using display
  stakeholders pedestrian, vehicle, connected_vehicle_system, transit_vehicle_operator
  linked_to ""G.D77.3.8.3.7.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.3.7.2;2021 - ConnectedVehiclePilotNYC.txt;The Pedestrian Detector shall send a pedestrian detected si gnal when a pedestrian is present in the crosswalk it monitors.;"requirement REQ_093_ID_G_D77_3_8_3_7_2
  where condition_from_source_93
  system shall inform connected_vehicle_system
  stakeholders pedestrian, connected_vehicle_system
  linked_to ""G.D77.3.8.3.7.2""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.3.7.4;2021 - ConnectedVehiclePilotNYC.txt;The PEDINXWALK System Latency for pedestrian detection shall be no more than 2 seconds from detecting pedestrian to alert.;"requirement REQ_094_ID_G_D77_3_8_3_7_4
  system shall warn connected_vehicle_system
  stakeholders pedestrian, om_system, connected_vehicle_system
  linked_to ""G.D77.3.8.3.7.4""";partially;Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.4.1.1;2021 - ConnectedVehiclePilotNYC.txt;The PED-SIG application shall correctly discern the pedestrian's position and intended crossing direction.;"requirement REQ_095_ID_G_D77_3_8_4_1_1
  system shall detect pedestrian_presence of pedestrian
  stakeholders pedestrian, connected_vehicle_system
  linked_to ""G.D77.3.8.4.1.1""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.4.1.5;2021 - ConnectedVehiclePilotNYC.txt;The PED -SIG application shall use the intersection geometry information to determine the pedestrian's orientation.;"requirement REQ_096_ID_G_D77_3_8_4_1_5
  system shall inform connected_vehicle_system
  stakeholders pedestrian, om_system, connected_vehicle_system
  linked_to ""G.D77.3.8.4.1.5""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.4.1.7;2021 - ConnectedVehiclePilotNYC.txt;The PED -SIG Applicati on shall determine the intended crossing time from the intersection geographic information (distance) and the expected pedestrian travel rate (configurable).;"requirement REQ_097_ID_G_D77_3_8_4_1_7
  system shall inform connected_vehicle_system
  stakeholders pedestrian, om_system, trip, connected_vehicle_system
  linked_to ""G.D77.3.8.4.1.7""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D77.3.8.4.1.19;2021 - ConnectedVehiclePilotNYC.txt;The Application shall calculate intersection crossing information based on pedestrian’s origin, destination, departure range, arrival range. (Note: this is for coordination of signal timing phase.);"requirement REQ_098_ID_G_D77_3_8_4_1_19
  system shall inform connected_vehicle_system
  stakeholders pedestrian, connected_vehicle_system
  linked_to ""G.D77.3.8.4.1.19""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D81.3.1;automated-insulin-pump.txt;The dose of insulin to be delivered shall be computed by measuring the current level of blood sugar, comparing this to a previous measured level and computing the required dose as described in 3.3 below.;"requirement REQ_099_ID_G_D81_3_1
  system shall measure blood_sugar_level of om_system
  stakeholders om_system
  linked_to ""G.D81.3.1""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D81.3.2;automated-insulin-pump.txt;The system shall measure the level of blood sugar and deliver insulin if required every 10 minutes.;"requirement REQ_100_ID_G_D81_3_2
  where condition_from_source_100
  system shall measure blood_sugar_level of application_system
  stakeholders application_system
  linked_to ""G.D81.3.2""";partially;Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.1.4;EHR System FuncReq - LA DHS.txt;The system has capability to identify the current physical location of any patient during their stay.;"requirement REQ_101_ID_G_D82_6_1_4
  system shall detect location_data of location
  stakeholders location, patient, ehr_system
  linked_to ""G.D82.6.1.4""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.1.12;EHR System FuncReq - LA DHS.txt;The system has capability to have voice recognition.;"requirement REQ_102_ID_G_D82_6_1_12
  system shall record voice_input of ehr_system
  stakeholders ehr_system
  linked_to ""G.D82.6.1.12""";partially;"Generic capability/support wording was approximated as a record requirement; Value-DSL lacks native capability/provide/support constructs.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.1.16;EHR System FuncReq - LA DHS.txt;The system has capability to capture the user's information, both internal and external, who created and/or edited the record.;"requirement REQ_103_ID_G_D82_6_1_16
  system shall inform user
  stakeholders ehr_system, user
  linked_to ""G.D82.6.1.16""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.1.19;EHR System FuncReq - LA DHS.txt;The system has capability to automatically populate demographic fields.;"requirement REQ_104_ID_G_D82_6_1_19
  system shall record demographic_data of om_system
  stakeholders om_system, person, ehr_system
  linked_to ""G.D82.6.1.19""";partially;"Generic capability/support wording was approximated as a record requirement; Value-DSL lacks native capability/provide/support constructs.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.1.21;EHR System FuncReq - LA DHS.txt;The system has capability to manage, track and report user access to a specific patient's data.;"requirement REQ_105_ID_G_D82_6_1_21
  system shall track manage_track_report_user of patient
  stakeholders patient, ehr_system, user
  linked_to ""G.D82.6.1.21""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.1.41;EHR System FuncReq - LA DHS.txt;The system has capability for tracking patient ID changes and merges.;"requirement REQ_106_ID_G_D82_6_1_41
  system shall track patient_id_changes of patient
  stakeholders patient, ehr_system
  linked_to ""G.D82.6.1.41""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.2.87;EHR System FuncReq - LA DHS.txt;"The system supports historical patient lookup functionality such as  viewing a patient‘s locations (e.g., where they have been transferred to and from; view of all patients who have historically been in a given location during a time period).";"requirement REQ_107_ID_G_D82_6_2_87
  system shall inform ehr_system using display
  stakeholders om_system, location, patient, ehr_system
  linked_to ""G.D82.6.2.87""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.4.135;EHR System FuncReq - LA DHS.txt;The system has the capability to present to a user condition specific care plans or guidelines based on vital signs outside of a specific range.;"requirement REQ_108_ID_G_D82_6_4_135
  system shall inform user
  stakeholders vehicle, ehr_system, user
  linked_to ""G.D82.6.4.135""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.4.159;EHR System FuncReq - LA DHS.txt;The system has the capability to track active and inactive patient problems.;"requirement REQ_109_ID_G_D82_6_4_159
  system shall track patient_problems of patient
  stakeholders patient, ehr_system
  linked_to ""G.D82.6.4.159""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.4.167;EHR System FuncReq - LA DHS.txt;The system has the capability to flag the nurse for missing or late documentation.;"requirement REQ_110_ID_G_D82_6_4_167
  system shall inform nurse
  stakeholders ehr_system, nurse
  linked_to ""G.D82.6.4.167""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.5.224;EHR System FuncReq - LA DHS.txt;The system has the capability to automatically notify caregivers if critical value is detected and document who acknowledged the receipt of notification, as well as the date/time.;"requirement REQ_111_ID_G_D82_6_5_224
  where condition_from_source_111
  system shall inform caregiver
  stakeholders vehicle, om_system, ehr_system, caregiver
  linked_to ""G.D82.6.5.224""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.6.278;EHR System FuncReq - LA DHS.txt;The system has the capability to track and report number of consultations requested and number performed per physician.;"requirement REQ_112_ID_G_D82_6_6_278
  system shall track consultation_counts of ehr_system
  stakeholders ehr_system, physician
  linked_to ""G.D82.6.6.278""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.6.281;EHR System FuncReq - LA DHS.txt;The system has the capability to provide system-wide quality reporting and physician specific performance feedback.;"requirement REQ_113_ID_G_D82_6_6_281
  system shall inform physician
  stakeholders ehr_system, physician
  linked_to ""G.D82.6.6.281""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.6.284;EHR System FuncReq - LA DHS.txt;The system has the ability to flag or identify patients that meet criteria for clinical studies.;"requirement REQ_114_ID_G_D82_6_6_284
  system shall inform ehr_system
  stakeholders patient, ehr_system
  linked_to ""G.D82.6.6.284""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D82.6.9.427;EHR System FuncReq - LA DHS.txt;The system has the ability to track turnaround times for a defined group of physicians.;"requirement REQ_115_ID_G_D82_6_9_427
  system shall track turnaround_times of ehr_system
  stakeholders ehr_system, physician
  linked_to ""G.D82.6.9.427""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D82.6.12.504;EHR System FuncReq - LA DHS.txt;The system has the ability for the ICU component to acquire data from physiologic monitors.;"requirement REQ_116_ID_G_D82_6_12_504
  system shall log physiologic_monitor_data of component
  stakeholders component, om_system, ehr_system, icu_component, physiologic_monitor
  linked_to ""G.D82.6.12.504""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D82.6.12.505;EHR System FuncReq - LA DHS.txt;The system has the ability for the ICU component to acquire data from bedside monitors.;"requirement REQ_117_ID_G_D82_6_12_505
  system shall capture bedside_monitor_data of component
  stakeholders component, om_system, ehr_system, icu_component, bedside_monitor
  linked_to ""G.D82.6.12.505""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D82.6.12.511;EHR System FuncReq - LA DHS.txt;The system has the ability to support graphing and trending of patient information such as vital signs.;"requirement REQ_118_ID_G_D82_6_12_511
  system shall inform ehr_system
  stakeholders patient, ehr_system
  linked_to ""G.D82.6.12.511""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
